frame_idx,time_sec,f0_hz,conf,rms,voiced
419,4.864580,107.666016,5.938287,0.078331,1
420,4.876190,107.666016,7.077851,0.074948,1
421,4.887800,107.666016,4.025725,0.064264,1
422,4.899410,107.666016,6.994461,0.062479,1
423,4.911020,107.666016,5.734990,0.063990,1
424,4.922630,,2.906275,0.067208,0
425,4.934240,,0.295825,0.089178,0
426,4.945850,,0.329204,0.096665,0
427,4.957460,,1.468608,0.098292,0
428,4.969070,,0.974406,0.106931,0
429,4.980680,,1.000000,0.089811,0
430,4.992290,,0.508779,0.082858,0
431,5.003900,129.199219,6.052543,0.079177,1
432,5.015510,129.199219,5.465336,0.064240,1
433,5.027120,,0.848979,0.059501,0
434,5.038730,,1.001953,0.050543,0
435,5.050340,,0.413066,0.047563,0
436,5.061950,,2.322705,0.043011,0
437,5.073560,,0.298683,0.041399,0
438,5.085170,,0.480891,0.043089,0
439,5.096780,279.931641,3.061819,0.045574,1
440,5.108390,279.931641,3.462509,0.048685,1
441,5.120000,,0.711567,0.051121,0
442,5.131610,,1.000000,0.051575,0
443,5.143220,,1.000000,0.051438,0
444,5.154830,,0.816086,0.048556,0
445,5.166440,322.998047,3.099524,0.049200,1
446,5.178050,,1.000000,0.051509,0
447,5.189660,990.527344,7.468040,0.057452,1
448,5.201270,,2.580062,0.066043,0
449,5.212880,129.199219,5.094221,0.073109,1
450,5.224490,107.666016,3.493968,0.074309,1
451,5.236100,,2.040973,0.072878,0
452,5.247710,,1.033990,0.065644,0
453,5.259320,193.798828,4.144015,0.060700,1
454,5.270930,,1.170441,0.062091,0
455,5.282540,990.527344,11.887080,0.063174,1
456,5.294150,,2.431152,0.065305,0
457,5.305760,322.998047,6.711084,0.064752,1
458,5.317370,990.527344,8.259858,0.064239,1
459,5.328980,,0.153364,0.061600,0
460,5.340590,,0.881390,0.062427,0
461,5.352200,,0.913067,0.058256,0
462,5.363810,,0.449692,0.056295,0
463,5.375420,,0.537494,0.057354,0
464,5.387029,,2.252076,0.055164,0
465,5.398639,,2.035147,0.057608,0
466,5.410249,,2.948423,0.055645,0
467,5.421859,,0.943983,0.053831,0
468,5.433469,129.199219,3.265966,0.057092,1
469,5.445079,,0.845921,0.062029,0
470,5.456689,193.798828,5.941979,0.092888,1
471,5.468299,,0.674907,0.101567,0
472,5.479909,,0.279443,0.109952,0
473,5.491519,,1.732956,0.111159,0
474,5.503129,,2.173907,0.088782,0
475,5.514739,,1.233060,0.080165,0
476,5.526349,,1.332076,0.064878,0
477,5.537959,,2.175857,0.055234,0
478,5.549569,753.662109,3.875837,0.055091,1
479,5.561179,753.662109,3.643792,0.051602,1
480,5.572789,258.398438,4.449237,0.052981,1
481,5.584399,,0.499470,0.055704,0
482,5.596009,,1.099888,0.056518,0
483,5.607619,,1.685518,0.061447,0
484,5.619229,,1.535865,0.063240,0
485,5.630839,,2.896172,0.063370,0
486,5.642449,129.199219,6.302250,0.064176,1
487,5.654059,129.199219,7.113104,0.062577,1
488,5.665669,,2.066888,0.062650,0
489,5.677279,129.199219,8.775532,0.062877,1
490,5.688889,129.199219,5.742037,0.063692,1
491,5.700499,,2.006344,0.062737,0
492,5.712109,,0.708702,0.068043,0
493,5.723719,,0.731045,0.076177,0
494,5.735329,,0.585059,0.076767,0
495,5.746939,,0.830982,0.082095,0
496,5.758549,193.798828,5.079574,0.078465,1
497,5.770159,107.666016,3.362910,0.073362,1
498,5.781769,,2.689770,0.069816,0
499,5.793379,,0.607535,0.065241,0
500,5.804989,,0.580686,0.064195,0
501,5.816599,,2.586781,0.072678,0
502,5.828209,,0.293736,0.086676,0
503,5.839819,,1.546818,0.092296,0
504,5.851429,,2.312640,0.094556,0
505,5.863039,129.199219,7.671126,0.087157,1
506,5.874649,129.199219,10.721317,0.076841,1
507,5.886259,129.199219,8.421883,0.069861,1
508,5.897868,107.666016,3.649079,0.065616,1
509,5.909478,,2.470022,0.063285,0
510,5.921088,,2.211477,0.059850,0
511,5.932698,193.798828,4.973155,0.058329,1
512,5.944308,129.199219,3.976353,0.065611,1
513,5.955918,,1.898532,0.064585,0
514,5.967528,,0.774292,0.071346,0
515,5.979138,,2.975214,0.073267,0
516,5.990748,,2.694704,0.068079,0
517,6.002358,,2.090956,0.067712,0
518,6.013968,150.732422,3.148294,0.061062,1
519,6.025578,,2.333560,0.056534,0
520,6.037188,,2.817591,0.053002,0
521,6.048798,193.798828,3.137330,0.054291,1
522,6.060408,215.332031,5.202372,0.052382,1
523,6.072018,215.332031,6.853957,0.056743,1
524,6.083628,,1.629979,0.057268,0
525,6.095238,215.332031,5.845926,0.062022,1
526,6.106848,215.332031,5.138513,0.062716,1
527,6.118458,,1.099209,0.061363,0
528,6.130068,215.332031,5.940591,0.062526,1
529,6.141678,,1.717830,0.058374,0
530,6.153288,,1.764064,0.066057,0
531,6.164898,,2.292420,0.065763,0
532,6.176508,,2.568848,0.068530,0
533,6.188118,,1.266635,0.071475,0
534,6.199728,,1.476018,0.066190,0
